"customer_id";"order_id";"date_confirmed";"date_shipped";"date_cancelled";"order_type";"cm2"
2356393;4722241;"2019-12-16 20:21:32.399";;;FO;
2356393;4722241;"2019-12-16 20:21:32.399";;;FO;
2368294;4722217;"2019-12-16 20:04:53.668";;;FO;
2368294;4722217;"2019-12-16 20:04:53.668";;;FO;
2351210;4722218;"2019-12-16 20:01:09.266";;;FO;
2351210;4722218;"2019-12-16 20:01:09.266";;;FO;
2367691;4722182;"2019-12-16 19:41:10.416";;;FO;
2367691;4722182;"2019-12-16 19:41:10.416";;;FO;
2361813;4721857;"2019-12-16 16:41:05.776";;;FO;
2361813;4721857;"2019-12-16 16:41:05.776";;;FO;
2370648;4721840;"2019-12-16 16:30:11.068";;;F;
2370648;4721840;"2019-12-16 16:30:11.068";;;F;
2334236;4721120;"2019-12-16 07:01:06.991";;;FO;
2334236;4721120;"2019-12-16 07:01:06.991";;;FO;
2063001;4720644;"2019-12-16 06:30:39.525";;;F;
2063001;4720644;"2019-12-16 06:30:39.525";;;F;
2342118;4720151;"2019-12-16 06:00:18.452";;;F;
2342118;4720151;"2019-12-16 06:00:18.452";;;F;
415625;4719832;"2019-12-16 05:30:42.647";;;F;
415625;4719832;"2019-12-16 05:30:42.647";;;F;
2338087;4718989;"2019-12-16 04:30:50.559";;;F;
2338087;4718989;"2019-12-16 04:30:50.559";;;F;
1985316;4718667;"2019-12-16 04:01:14.291";;"2019-12-16 20:11:39.367";F;
1985316;4718667;"2019-12-16 04:01:14.291";;"2019-12-16 20:11:39.367";F;
2371334;4718657;"2019-12-16 04:01:10.993";;;F;
2371334;4718657;"2019-12-16 04:01:10.993";;;F;
2382711;4714878;"2019-12-16 04:00:19.152";;;F;
2382711;4714878;"2019-12-16 04:00:19.152";;;F;
2348116;4718092;"2019-12-16 03:30:22.508";;;F;
2348116;4718092;"2019-12-16 03:30:22.508";;;F;
1930087;4717762;"2019-12-16 03:00:50.513";;;F;
1930087;4717762;"2019-12-16 03:00:50.513";;;F;
1971722;4717579;"2019-12-16 03:00:12.181";;;F;
1971722;4717579;"2019-12-16 03:00:12.181";;;F;
2343139;4717223;"2019-12-16 02:30:28.41";;;F;
2343139;4717223;"2019-12-16 02:30:28.41";;;F;
2380497;4716628;"2019-12-16 01:31:27.744";;;F;
2380497;4716628;"2019-12-16 01:31:27.744";;;F;
2370964;4716522;"2019-12-16 01:31:02.981";;;F;
2370964;4716522;"2019-12-16 01:31:02.981";;;F;
117319;4716276;"2019-12-16 01:30:04.953";;;F;
117319;4716276;"2019-12-16 01:30:04.953";;;F;
2340413;4716230;"2019-12-16 01:01:27.77";;;F;
2340413;4716230;"2019-12-16 01:01:27.77";;;F;
2349066;4714548;"2019-12-16 01:00:58.137";;;F;162.4884593838
2349066;4714548;"2019-12-16 01:00:58.137";;;F;184.4884593838
2343622;4715816;"2019-12-16 00:31:35.545";;;F;
2343622;4715816;"2019-12-16 00:31:35.545";;;F;
2347511;4715740;"2019-12-16 00:31:17.194";;;F;
2347511;4715740;"2019-12-16 00:31:17.194";;;F;
2368587;4715655;"2019-12-16 00:30:56.483";;;F;
2368587;4715655;"2019-12-16 00:30:56.483";;;F;
2332072;4714437;"2019-12-16 00:30:25.957";;;F;
2332072;4714437;"2019-12-16 00:30:25.957";;;F;
2335466;4715443;"2019-12-16 00:30:05.588";;;F;
2335466;4715443;"2019-12-16 00:30:05.588";;;F;
2356402;4714305;"2019-12-16 00:01:26.433";;;F;
2356402;4714305;"2019-12-16 00:01:26.433";;;F;
2370879;4714164;"2019-12-16 00:00:57.075";;;F;
2370879;4714164;"2019-12-16 00:00:57.075";;;F;
2374299;4713986;"2019-12-16 00:00:18.912";;;F;
2374299;4713986;"2019-12-16 00:00:18.912";;;F;
2388061;4713720;"2019-12-15 21:23:35.008";;;F;
2388061;4713720;"2019-12-15 21:23:35.008";;;F;
2189722;4713302;"2019-12-15 18:24:05.313";;;F;
2189722;4713302;"2019-12-15 18:24:05.313";;;F;
2322452;4712720;"2019-12-15 00:00:46.821";;;F;
2322452;4712720;"2019-12-15 00:00:46.821";;;F;
2371869;4712583;"2019-12-15 00:00:18.061";;;F;
2371869;4712583;"2019-12-15 00:00:18.061";;;F;
2340015;4711025;"2019-12-13 19:41:06.275";;;FO;
2340015;4711025;"2019-12-13 19:41:06.275";;;FO;
2328701;4710777;"2019-12-13 15:14:47.413";;;FO;
2328701;4710777;"2019-12-13 15:14:47.413";;;FO;
359175;4710646;"2019-12-13 13:31:07.11";;"2019-12-16 17:41:56.683";FO;
359175;4710646;"2019-12-13 13:31:07.11";;"2019-12-16 17:41:56.683";FO;
2354098;4708918;"2019-12-12 14:21:07.127";;;FO;62.9290756303
2354098;4708918;"2019-12-12 14:21:07.127";;;FO;50.4290756303
2356402;4708865;"2019-12-12 13:41:45.681";;;FO;57.2668907563
2356402;4708865;"2019-12-12 13:41:45.681";;;FO;123.6672268908
2338723;4708204;"2019-12-12 08:04:27.035";"2019-12-13 15:13:14.861";;FO;78.1220994671
2338723;4708204;"2019-12-12 08:04:27.035";"2019-12-13 15:13:14.861";;FO;29.3950718093
2348116;4708517;"2019-12-12 08:01:02.551";;;FO;20.0117851587
2348116;4708517;"2019-12-12 08:01:02.551";;;FO;22.517677738
2367988;4708138;"2019-12-12 00:01:37.575";"2019-12-14 13:43:37.204";;F;22.7287283179
2367988;4708138;"2019-12-12 00:01:37.575";"2019-12-14 13:43:37.204";;F;40.9762274288
2337186;4707049;"2019-12-11 13:31:11.016";"2019-12-16 09:23:07.963";;FO;34.4137818819
2337186;4707049;"2019-12-11 13:31:11.016";"2019-12-16 09:23:07.963";;FO;17.419792698
2371830;4707039;"2019-12-11 13:25:57.923";"2019-12-16 09:33:17.172";;F;37.7106740146
2371830;4707039;"2019-12-11 13:25:57.923";"2019-12-16 09:33:17.172";;F;54.405326978
1985235;4706127;"2019-12-11 00:00:34.13";"2019-12-13 09:23:11.272";;F;10.4465661328
1985235;4706127;"2019-12-11 00:00:34.13";"2019-12-13 09:23:11.272";;F;21.7979762878
2364349;4705286;"2019-12-10 16:51:04.812";;"2019-12-11 14:45:04.924";FO;
2364349;4705286;"2019-12-10 16:51:04.812";;"2019-12-11 14:45:04.924";FO;
2351596;4705221;"2019-12-10 16:11:06.153";;"2019-12-11 15:13:41.607";FO;
2351596;4705221;"2019-12-10 16:11:06.153";;"2019-12-11 15:13:41.607";FO;
2352489;4704989;"2019-12-10 13:17:49.649";"2019-12-14 13:03:09.051";;F;45.3461848579
2352489;4704989;"2019-12-10 13:17:49.649";"2019-12-14 13:03:09.051";;F;185.7751750439
2332154;4704986;"2019-12-10 13:08:05.833";;;F;56.2193495034
2332154;4704986;"2019-12-10 13:08:05.833";;;F;83.8290242552
2343372;4704099;"2019-12-10 00:01:04.807";;;F;77.1955033076
2343372;4704099;"2019-12-10 00:01:04.807";;;F;26.3985011025
2362090;4704008;"2019-12-10 00:00:43.693";"2019-12-12 09:13:12.709";;F;27.6365584908
2362090;4704008;"2019-12-10 00:00:43.693";"2019-12-12 09:13:12.709";;F;25.1052069923
1980427;4703856;"2019-12-10 00:00:13.236";;;F;51.1367657844
1980427;4703856;"2019-12-10 00:00:13.236";;;F;99.4102973532
2352240;4703008;"2019-12-09 14:27:44.686";"2019-12-12 13:53:05.384";;F;28.2182321679
2352240;4703008;"2019-12-09 14:27:44.686";"2019-12-12 13:53:05.384";;F;28.2864425276
2375000;4697441;"2019-12-09 12:26:45.594";"2019-12-11 14:03:29.997";;F;84.2891176426
2375000;4697441;"2019-12-09 12:26:45.594";"2019-12-11 14:03:29.997";;F;26.5491376854
2328701;4702857;"2019-12-09 12:24:04.041";"2019-12-11 15:23:29.543";;F;163.9141201419
2328701;4702857;"2019-12-09 12:24:04.041";"2019-12-11 15:23:29.543";;F;86.8294253008
2356172;4697402;"2019-12-09 10:52:07.188";"2019-12-11 14:03:29.325";;F;25.6823147123
2356172;4697402;"2019-12-09 10:52:07.188";"2019-12-11 14:03:29.325";;F;70.3043898421
2355978;4702717;"2019-12-09 10:35:31.406";"2019-12-12 15:33:14.382";;F;28.8320943582
2355978;4702717;"2019-12-09 10:35:31.406";"2019-12-12 15:33:14.382";;F;24.8822145493
2376499;4697387;"2019-12-09 10:25:36.921";"2019-12-12 13:13:23.059";;F;113.4957969192
2376499;4697387;"2019-12-09 10:25:36.921";"2019-12-12 13:13:23.059";;F;46.7155980532
2356215;4697383;"2019-12-09 10:22:10.048";"2019-12-11 15:03:06.8";;F;104.6643893104
2356215;4697383;"2019-12-09 10:22:10.048";"2019-12-11 15:03:06.8";;F;33.4488599671
1490660;4697212;"2019-12-09 06:00:04.016";"2019-12-11 14:03:27.933";;F;17.1921954135
1490660;4697212;"2019-12-09 06:00:04.016";"2019-12-11 14:03:27.933";;F;124.5272482355
